#time,accel_x,accel_y,accel_z
4214.876953,-9918.759623,518.144159,0.000000
4214.877283,-9918.759623,74.020594,306.438199
4214.877614,-9918.759623,0.000000,612.876398
4214.877944,-9696.697840,148.041188,459.657299
4214.878274,-9844.739029,74.020594,-536.266849
4214.878604,-9918.759623,74.020594,689.485948
4214.878934,-9844.739029,0.000000,459.657299
4214.879264,-9918.759623,0.000000,536.266849
4214.879594,-9844.739029,0.000000,153.219100
4214.879925,-9474.636058,148.041188,153.219100
4214.880255,-9474.636058,0.000000,76.609550
4214.880585,-9992.780217,222.061783,0.000000
4214.880915,-10066.800811,222.061783,229.828649
4214.881245,-9622.677246,148.041188,229.828649
4214.881575,-9696.697840,0.000000,0.000000
4214.881905,-9770.718434,222.061783,0.000000
4214.882235,-9844.739029,0.000000,229.828649
4214.882566,-9400.615463,0.000000,306.438199
4214.882896,-9844.739029,148.041188,536.266849
4214.883226,-9844.739029,222.061783,536.266849
4214.883556,-9992.780217,0.000000,153.219100
4214.883886,-9992.780217,74.020594,0.000000
4214.884216,-9622.677246,148.041188,-459.657299
4214.884546,-9622.677246,-148.041188,229.828649
4214.884877,-9474.636058,0.000000,153.219100
4214.885207,-9474.636058,-222.061783,612.876398
4214.885537,-9400.615463,-518.144159,842.705048
4214.885867,-9696.697840,0.000000,612.876398
4214.886197,-9992.780217,0.000000,842.705048
4214.886527,-10066.800811,370.102971,383.047749
4214.886857,-9770.718434,0.000000,612.876398
4214.887188,-9770.718434,0.000000,1072.533697
4214.887518,-9622.677246,-370.102971,1302.362347
4214.887848,-10140.821405,-74.020594,1685.410096
4214.888178,-9770.718434,-592.164754,1838.629195
4214.888508,-9918.759623,-148.041188,995.924147
4214.888838,-9770.718434,-444.123565,76.609550
4214.889168,-9400.615463,-666.185348,0.000000
4214.889499,-9548.656652,-444.123565,306.438199
4214.889829,-9918.759623,-666.185348,842.705048
4214.890159,-9918.759623,-370.102971,1455.581446
4214.890489,-9622.677246,-592.164754,2068.457845
4214.890819,-9326.594869,-592.164754,1838.629195
4214.891149,-9474.636058,-814.226536,1838.629195
4214.891479,-10140.821405,-1184.329507,2068.457845
4214.891810,-10362.883188,-1480.411884,2145.067394
4214.892140,-9992.780217,-1406.391290,3064.381992
4214.892470,-9696.697840,-1258.350101,2528.115143
4214.892800,-10140.821405,-1258.350101,3217.601092
4214.893130,-9844.739029,-1332.370696,2757.943793
4214.893460,-9622.677246,-1184.329507,2374.896044
4214.893790,-10288.862594,-666.185348,1685.410096
4214.894121,-10214.842000,-888.247130,1762.019645
4214.894451,-9770.718434,-1554.432478,1685.410096
4214.894781,-10288.862594,-1998.556043,2451.505594
4214.895111,-10214.842000,-2368.659014,2987.772442
4214.895441,-10066.800811,-2812.782580,2834.553343
4214.895771,-8956.491898,-3701.029710,1915.238745
4214.896101,-8364.327145,-3923.091493,2604.724693
4214.896432,-8364.327145,-3849.070898,3524.039291
4214.896762,-9104.533087,-3182.885551,3830.477490
4214.897092,-9770.718434,-3108.864956,4443.353888
4214.897422,-10288.862594,-2738.761985,3983.696590
4214.897752,-10881.027347,-3108.864956,3447.429741
4214.898082,-11325.150913,-2886.803174,2298.286494
4214.898412,-10584.944971,-3182.885551,1455.581446
4214.898743,-10362.883188,-2738.761985,766.095498
4214.899073,-8956.491898,-2812.782580,612.876398
4214.899403,-8956.491898,-2960.823768,1532.190996
4214.899733,-9252.574275,-3182.885551,2221.676944
4214.900063,-9548.656652,-3478.967927,2911.162892
4214.900393,-10214.842000,-3627.009116,2987.772442
4214.900723,-9918.759623,-4367.215058,2451.505594
4214.901054,-9178.553681,-4367.215058,2834.553343
4214.901384,-9474.636058,-4071.132681,4213.525239
4214.901714,-9548.656652,-3923.091493,4366.744339
4214.902044,-10436.903782,-2664.741391,3753.867940
4214.902374,-10807.006753,-2220.617826,1685.410096
4214.902704,-10732.986159,-2072.576638,1225.752797
4214.903034,-10510.924376,-1850.514855,1608.800546
4214.903365,-10140.821405,-2516.700203,2145.067394
4214.903695,-10066.800811,-2516.700203,2221.676944
4214.904025,-9622.677246,-2812.782580,1915.238745
4214.904355,-9252.574275,-3182.885551,1149.143247
4214.904685,-9104.533087,-3478.967927,842.705048
4214.905015,-9030.512492,-2812.782580,2221.676944
4214.905345,-9992.780217,-2294.638420,3370.820191
4214.905676,-10881.027347,-1776.494261,3294.210641
4214.906006,-10436.903782,-1776.494261,3600.648841
4214.906336,-10140.821405,-1554.432478,2604.724693
4214.906666,-9252.574275,-1998.556043,2451.505594
4214.906996,-10214.842000,-1850.514855,2298.286494
4214.907326,-10510.924376,-2072.576638,2911.162892
4214.907656,-9696.697840,-2368.659014,2987.772442
4214.907987,-9030.512492,-1702.473667,2757.943793
4214.908317,-9104.533087,-1924.535449,1685.410096
4214.908647,-9844.739029,-1110.308913,536.266849
4214.908977,-9770.718434,-1258.350101,766.095498
4214.909307,-9104.533087,-518.144159,1838.629195
4214.909637,-9252.574275,-1332.370696,2374.896044
4214.909967,-8882.471304,-962.267725,1991.848295
4214.910298,-9770.718434,-1480.411884,2987.772442
4214.910628,-10807.006753,-740.205942,3064.381992
4214.910958,-10732.986159,-1258.350101,2221.676944
4214.911288,-10066.800811,-444.123565,2298.286494
4214.911618,-9252.574275,-1036.288319,2374.896044
4214.911948,-9548.656652,-1036.288319,2528.115143
4214.912278,-9844.739029,-296.082377,2451.505594
4214.912609,-10066.800811,-592.164754,2145.067394
4214.912939,-9474.636058,-666.185348,612.876398
4214.913269,-9622.677246,-740.205942,229.828649
4214.913599,-9918.759623,-1036.288319,1378.971896
4214.913929,-9918.759623,-1184.329507,2298.286494
4214.914259,-8660.409521,-1036.288319,2145.067394
4214.914589,-9696.697840,-1702.473667,2374.896044
4214.914920,-10140.821405,-1110.308913,2068.457845
4214.915250,-10214.842000,-1406.391290,2298.286494
4214.915580,-9548.656652,-1776.494261,2298.286494
4214.915910,-10584.944971,-1406.391290,2834.553343
4214.916240,-10584.944971,-1850.514855,3677.258390
