#time,accel_x,accel_y,accel_z
3674.925885,-10214.842000,-2220.617826,-3524.039291
3674.926215,-9622.677246,-1184.329507,-1915.238745
3674.926545,-10214.842000,-1480.411884,76.609550
3674.926875,-10362.883188,-1332.370696,-612.876398
3674.927206,-9252.574275,-1258.350101,-1302.362347
3674.927536,-9252.574275,-814.226536,-2451.505594
3674.927866,-10066.800811,-444.123565,-2298.286494
3674.928196,-11029.068536,-814.226536,-995.924147
3674.928527,-9844.739029,0.000000,842.705048
3674.928857,-9400.615463,-444.123565,306.438199
3674.929187,-9622.677246,444.123565,0.000000
3674.929517,-10214.842000,-370.102971,-306.438199
3674.929848,-9770.718434,518.144159,-383.047749
3674.930178,-9104.533087,74.020594,-153.219100
3674.930508,-9696.697840,814.226536,-689.485948
3674.930839,-9696.697840,518.144159,-229.828649
3674.931169,-9474.636058,1110.308913,-612.876398
3674.931499,-9548.656652,296.082377,-1608.800546
3674.931829,-10288.862594,1184.329507,-1762.019645
3674.932160,-10140.821405,0.000000,-2145.067394
3674.932490,-9844.739029,740.205942,-1072.533697
3674.932820,-9326.594869,1036.288319,0.000000
3674.933150,-11621.233289,1258.350101,-766.095498
3674.933481,-11177.109724,1036.288319,-2374.896044
3674.933811,-8808.450710,0.000000,-2451.505594
3674.934141,-9030.512492,-74.020594,-2987.772442
3674.934472,-10066.800811,-296.082377,-2987.772442
3674.934802,-9844.739029,-740.205942,-1149.143247
3674.935132,-8438.347739,-148.041188,-76.609550
3674.935462,-8216.285956,-370.102971,-689.485948
3674.935793,-9474.636058,-518.144159,0.000000
3674.936123,-11029.068536,-148.041188,-842.705048
3674.936453,-11769.274478,-296.082377,-2374.896044
3674.936783,-11547.212695,-666.185348,-2911.162892
3674.937114,-10955.047942,-1184.329507,-3447.429741
3674.937444,-10362.883188,-1924.535449,-3907.087040
3674.937774,-9548.656652,-2886.803174,-4366.744339
3674.938104,-8438.347739,-2886.803174,-3600.648841
3674.938435,-7994.224174,-2886.803174,-2681.334243
3674.938765,-9474.636058,-2072.576638,-2911.162892
3674.939095,-9992.780217,-2368.659014,-2987.772442
3674.939426,-10584.944971,-3108.864956,-4213.525239
3674.939756,-10955.047942,-3330.926739,-4519.963438
3674.940086,-10288.862594,-5107.421000,-2987.772442
3674.940416,-9474.636058,-5403.503377,-2145.067394
3674.940747,-8586.388927,-5699.585753,-2298.286494
3674.941077,-8216.285956,-5551.544565,-2451.505594
3674.941407,-8364.327145,-4885.359217,-2681.334243
3674.941737,-9326.594869,-4071.132681,-2834.553343
3674.942068,-10807.006753,-3552.988522,-2374.896044
3674.942398,-12213.398043,-3108.864956,-2145.067394
3674.942728,-12139.377449,-3034.844362,-4060.306139
3674.943059,-10955.047942,-4811.338623,-5209.449386
3674.943389,-9326.594869,-6291.750507,-5362.668486
3674.943719,-8290.306550,-6883.915261,-2451.505594
3674.944049,-8216.285956,-6365.771101,-1378.971896
3674.944380,-7920.203579,-6069.688724,-1455.581446
3674.944710,-7772.162391,-5551.544565,0.000000
3674.945040,-9622.677246,-3849.070898,612.876398
3674.945370,-12139.377449,-3034.844362,76.609550
3674.945701,-13619.789333,-3552.988522,-1991.848295
3674.946031,-11917.315666,-4145.153275,-3524.039291
3674.946361,-10807.006753,-5255.462188,-3983.696590
3674.946691,-9622.677246,-5995.668130,-2681.334243
3674.947022,-8438.347739,-6069.688724,-2068.457845
3674.947352,-7476.080014,-5551.544565,-1302.362347
3674.947682,-6957.935855,-4219.173869,-1149.143247
3674.948012,-7994.224174,-3330.926739,-766.095498
3674.948343,-9696.697840,-2886.803174,229.828649
3674.948673,-11621.233289,-2072.576638,1455.581446
3674.949003,-11843.295072,-2220.617826,1149.143247
3674.949333,-11769.274478,-2368.659014,-383.047749
3674.949663,-10066.800811,-2812.782580,-1838.629195
3674.949994,-9252.574275,-2960.823768,-1915.238745
3674.950324,-9548.656652,-2146.597232,-1378.971896
3674.950654,-9622.677246,-1998.556043,-1532.190996
3674.950984,-9548.656652,-1776.494261,-1225.752797
3674.951315,-8882.471304,-1332.370696,-1225.752797
3674.951645,-9030.512492,-962.267725,306.438199
3674.951975,-9548.656652,-740.205942,842.705048
3674.952305,-9178.553681,-666.185348,-919.314598
3674.952635,-8586.388927,-296.082377,-2298.286494
3674.952966,-9252.574275,0.000000,-383.047749
3674.953296,-11103.089130,518.144159,1302.362347
3674.953626,-11621.233289,740.205942,1762.019645
3674.953956,-11251.130318,1110.308913,766.095498
3674.954286,-10955.047942,1332.370696,-1072.533697
3674.954617,-10807.006753,1110.308913,-1685.410096
3674.954947,-10362.883188,814.226536,-2221.676944
3674.955277,-8882.471304,296.082377,-1762.019645
3674.955607,-7698.141797,1184.329507,-76.609550
3674.955937,-8734.430116,1776.494261,842.705048
3674.956268,-9696.697840,2146.597232,229.828649
3674.956598,-9104.533087,2220.617826,-2068.457845
3674.956928,-9326.594869,2442.679609,-3447.429741
3674.957258,-11251.130318,1850.514855,-2221.676944
3674.957589,-11251.130318,1998.556043,1072.533697
3674.957919,-10288.862594,1850.514855,3447.429741
3674.958249,-10066.800811,1998.556043,2374.896044
3674.958579,-9400.615463,1850.514855,-995.924147
3674.958909,-9474.636058,1110.308913,-2987.772442
3674.959240,-9844.739029,1406.391290,-2451.505594
3674.959570,-9474.636058,1628.453072,1072.533697
3674.959900,-9696.697840,2072.576638,2528.115143
3674.960230,-8290.306550,2664.741391,383.047749
3674.960560,-7031.956449,2664.741391,-2221.676944
3674.960891,-8660.409521,2664.741391,-2451.505594
3674.961221,-11695.253884,2886.803174,-1072.533697
3674.961551,-12065.356855,2146.597232,2757.943793
3674.961881,-11325.150913,2294.638420,3140.991542
3674.962211,-9844.739029,1702.473667,1838.629195
3674.962542,-9992.780217,1110.308913,-383.047749
3674.962872,-10807.006753,740.205942,-2681.334243
3674.963202,-10066.800811,74.020594,-1915.238745
3674.963532,-8956.491898,1110.308913,842.705048
3674.963863,-8512.368333,2220.617826,2681.334243
3674.964193,-8290.306550,2146.597232,2604.724693
3674.964523,-9178.553681,1776.494261,919.314598
3674.964853,-11177.109724,1702.473667,-1072.533697
3674.965183,-12361.439231,1184.329507,-383.047749
3674.965514,-12287.418637,1110.308913,1302.362347
3674.965844,-10732.986159,222.061783,2068.457845
3674.966174,-9326.594869,-592.164754,2298.286494
3674.966504,-9696.697840,-1184.329507,842.705048
3674.966834,-9918.759623,-1258.350101,-306.438199
3674.967165,-9474.636058,-1258.350101,0.000000
3674.967495,-9474.636058,-518.144159,1378.971896
3674.967825,-8660.409521,-370.102971,3140.991542
3674.968155,-8586.388927,-592.164754,3217.601092
3674.968485,-8956.491898,-740.205942,1225.752797
3674.968816,-9770.718434,-1184.329507,-229.828649
3674.969146,-10436.903782,-1110.308913,-383.047749
3674.969476,-11177.109724,-888.247130,-76.609550
3674.969806,-10436.903782,-1406.391290,153.219100
3674.970137,-9622.677246,-1998.556043,-612.876398
3674.970467,-10288.862594,-2442.679609,-689.485948
3674.970797,-9844.739029,-2442.679609,-842.705048
3674.971127,-9104.533087,-2072.576638,-995.924147
3674.971457,-7994.224174,-2220.617826,459.657299
3674.971788,-7550.100608,-1776.494261,1455.581446
3674.972118,-8882.471304,-1036.288319,1072.533697
3674.972448,-9696.697840,-1628.453072,-459.657299
3674.972778,-10436.903782,-1480.411884,-612.876398
3674.973108,-11547.212695,-1554.432478,-612.876398
3674.973439,-11325.150913,-1406.391290,0.000000
3674.973769,-10510.924376,-2072.576638,0.000000
3674.974099,-10066.800811,-2072.576638,-995.924147
3674.974429,-9918.759623,-2442.679609,-1302.362347
3674.974759,-9992.780217,-1850.514855,-766.095498
3674.975090,-9252.574275,-1628.453072,0.000000
3674.975420,-7698.141797,-1110.308913,995.924147
3674.975750,-8142.265362,-592.164754,229.828649
3674.976080,-9030.512492,-444.123565,-919.314598
3674.976411,-9770.718434,-518.144159,-995.924147
3674.976741,-10881.027347,74.020594,-612.876398
3674.977071,-11177.109724,74.020594,459.657299
3674.977401,-11547.212695,74.020594,689.485948
3674.977731,-11399.171507,-666.185348,-919.314598
3674.978062,-9992.780217,-1480.411884,-1302.362347
3674.978392,-8956.491898,-1406.391290,-689.485948
3674.978722,-9030.512492,-592.164754,0.000000
3674.979052,-7772.162391,-222.061783,766.095498
3674.979382,-7105.977043,518.144159,1455.581446
3674.979713,-7772.162391,888.247130,842.705048
3674.980043,-9474.636058,1480.411884,76.609550
3674.980373,-10807.006753,1554.432478,-229.828649
3674.980703,-11103.089130,1406.391290,-76.609550
3674.981033,-10510.924376,1258.350101,612.876398
3674.981364,-10288.862594,814.226536,76.609550
3674.981694,-9770.718434,296.082377,-766.095498
3674.982024,-9548.656652,148.041188,-689.485948
3674.982354,-9474.636058,740.205942,0.000000
3674.982685,-8734.430116,814.226536,1072.533697
3674.983015,-7772.162391,962.267725,1838.629195
3674.983345,-7624.121203,1628.453072,1455.581446
3674.983675,-8586.388927,1924.535449,842.705048
3674.984005,-9992.780217,2294.638420,1302.362347
3674.984336,-11177.109724,2738.761985,995.924147
3674.984666,-11177.109724,2960.823768,459.657299
3674.984996,-11769.274478,2220.617826,-306.438199
3674.985326,-11917.315666,1628.453072,-153.219100
3674.985656,-11695.253884,962.267725,-383.047749
3674.985987,-10584.944971,1406.391290,153.219100
3674.986317,-8512.368333,1036.288319,383.047749
3674.986647,-7402.059420,1332.370696,1608.800546
3674.986977,-7624.121203,1776.494261,2145.067394
3674.987307,-8512.368333,1850.514855,1532.190996
3674.987638,-10066.800811,2886.803174,2374.896044
3674.987968,-11695.253884,3034.844362,1991.848295
3674.988298,-11621.233289,2442.679609,1302.362347
3674.988628,-11695.253884,1702.473667,76.609550
3674.988958,-11695.253884,1332.370696,-689.485948
3674.989289,-11251.130318,-518.144159,-766.095498
3674.989619,-9918.759623,-1036.288319,153.219100
3674.989949,-8438.347739,-592.164754,995.924147
3674.990279,-6513.812290,-740.205942,2145.067394
3674.990610,-7476.080014,-148.041188,2374.896044
3674.990940,-8068.244768,296.082377,1072.533697
3674.991270,-8956.491898,888.247130,383.047749
3674.991600,-10658.965565,1258.350101,536.266849
3674.991930,-11473.192101,1406.391290,76.609550
3674.992261,-11325.150913,740.205942,0.000000
3674.992591,-11473.192101,-296.082377,-1608.800546
3674.992921,-11103.089130,-1332.370696,-3217.601092
3674.993251,-11251.130318,-1628.453072,-2451.505594
3674.993581,-10214.842000,-1480.411884,-1685.410096
3674.993912,-8364.327145,-1702.473667,0.000000
3674.994242,-7254.018232,-1184.329507,842.705048
3674.994572,-7920.203579,-740.205942,76.609550
3674.994902,-8660.409521,-518.144159,-229.828649
3674.995232,-9622.677246,0.000000,0.000000
3674.995563,-10807.006753,592.164754,229.828649
3674.995893,-11547.212695,444.123565,919.314598
3674.996223,-11843.295072,-444.123565,306.438199
3674.996553,-11843.295072,-1702.473667,-1302.362347
3674.996884,-11103.089130,-2368.659014,-1302.362347
3674.997214,-10510.924376,-2442.679609,-842.705048
3674.997544,-8660.409521,-2738.761985,383.047749
3674.997874,-6661.853478,-2072.576638,1685.410096
3674.998204,-6809.894666,-1110.308913,1915.238745
3674.998535,-8586.388927,-666.185348,842.705048
3674.998865,-9918.759623,0.000000,229.828649
3674.999195,-10436.903782,148.041188,229.828649
3674.999525,-10362.883188,74.020594,1149.143247
3674.999855,-11325.150913,-370.102971,842.705048
3675.000186,-11769.274478,-1258.350101,459.657299
3675.000516,-11029.068536,-1924.535449,-383.047749
3675.000846,-10362.883188,-2368.659014,-1225.752797
3675.001176,-9548.656652,-1850.514855,-536.266849
3675.001506,-8068.244768,-1998.556043,1149.143247
3675.001837,-6735.874072,-1184.329507,1378.971896
3675.002167,-6809.894666,-666.185348,842.705048
3675.002497,-8290.306550,74.020594,536.266849
3675.002827,-10362.883188,666.185348,766.095498
3675.003158,-10955.047942,962.267725,766.095498
3675.003488,-11251.130318,740.205942,536.266849
3675.003818,-12509.480420,0.000000,536.266849
3675.004148,-11843.295072,-962.267725,0.000000
3675.004478,-11769.274478,-1332.370696,842.705048
3675.004809,-10362.883188,-1110.308913,1149.143247
3675.005139,-8364.327145,-814.226536,1915.238745
3675.005469,-7179.997637,0.000000,1072.533697
3675.005799,-7179.997637,592.164754,459.657299
3675.006129,-8142.265362,1184.329507,1072.533697
3675.006460,-9918.759623,1924.535449,1149.143247
3675.006790,-10881.027347,2590.720797,612.876398
3675.007120,-11103.089130,2220.617826,-153.219100
3675.007450,-12361.439231,1554.432478,-995.924147
3675.007780,-12065.356855,666.185348,-1991.848295
3675.008111,-11991.336260,-222.061783,-1915.238745
3675.008441,-10362.883188,74.020594,-459.657299
3675.008771,-8364.327145,-296.082377,766.095498
3675.009101,-7105.977043,518.144159,1532.190996
3675.009432,-7476.080014,1036.288319,919.314598
3675.009762,-7550.100608,1036.288319,0.000000
3675.010092,-9326.594869,2072.576638,-76.609550
3675.010422,-10658.965565,2590.720797,0.000000
3675.010752,-10510.924376,2368.659014,76.609550
3675.011083,-10807.006753,1850.514855,-766.095498
3675.011413,-11325.150913,740.205942,-2068.457845
3675.011743,-11547.212695,0.000000,-2451.505594
3675.012073,-11769.274478,-222.061783,-1532.190996
3675.012403,-9770.718434,-518.144159,-459.657299
3675.012734,-7994.224174,-296.082377,766.095498
3675.013064,-7328.038826,0.000000,1149.143247
3675.013394,-7772.162391,444.123565,612.876398
3675.013724,-8438.347739,1258.350101,383.047749
3675.014054,-9622.677246,1776.494261,0.000000
3675.014385,-9992.780217,1776.494261,0.000000
3675.014715,-10510.924376,1554.432478,-383.047749
3675.015045,-11843.295072,888.247130,-1072.533697
3675.015375,-11547.212695,-518.144159,-1072.533697
3675.015706,-11695.253884,-962.267725,-459.657299
3675.016036,-10881.027347,-1258.350101,229.828649
3675.016366,-8290.306550,-1776.494261,1455.581446
3675.016696,-6661.853478,-1332.370696,1532.190996
3675.017026,-6883.915261,-814.226536,1225.752797
3675.017357,-7994.224174,74.020594,612.876398
3675.017687,-9474.636058,1332.370696,842.705048
3675.018017,-9474.636058,1332.370696,1225.752797
3675.018347,-10436.903782,1480.411884,1072.533697
3675.018677,-11621.233289,666.185348,536.266849
3675.019008,-11991.336260,-74.020594,-536.266849
3675.019338,-12139.377449,-1110.308913,-459.657299
3675.019668,-10955.047942,-1110.308913,-536.266849
3675.019998,-8882.471304,-1850.514855,229.828649
3675.020328,-7402.059420,-1628.453072,1685.410096
3675.020659,-7179.997637,-1554.432478,2068.457845
3675.020989,-7994.224174,-888.247130,1838.629195
3675.021319,-9326.594869,148.041188,2068.457845
3675.021649,-9992.780217,962.267725,1302.362347
3675.021980,-9548.656652,962.267725,919.314598
3675.022310,-11029.068536,666.185348,612.876398
3675.022640,-11695.253884,148.041188,-153.219100
3675.022970,-12879.583391,-666.185348,-383.047749
3675.023300,-11991.336260,-888.247130,0.000000
3675.023631,-10066.800811,-1332.370696,689.485948
3675.023961,-8290.306550,-1036.288319,1685.410096
3675.024291,-8586.388927,-888.247130,1378.971896
3675.024621,-8882.471304,-370.102971,1072.533697
3675.024951,-9030.512492,666.185348,1455.581446
3675.025282,-9474.636058,1332.370696,919.314598
3675.025612,-10140.821405,1776.494261,536.266849
3675.025942,-11029.068536,1332.370696,0.000000
3675.026272,-11547.212695,518.144159,-612.876398
3675.026602,-11399.171507,-888.247130,-1302.362347
3675.026933,-11843.295072,-888.247130,-1455.581446
3675.027263,-10732.986159,-1184.329507,-306.438199
3675.027593,-8364.327145,-1036.288319,306.438199
3675.027923,-7550.100608,-740.205942,306.438199
3675.028253,-7772.162391,-296.082377,-306.438199
3675.028584,-8808.450710,370.102971,0.000000
3675.028914,-9992.780217,1110.308913,0.000000
3675.029244,-9622.677246,1406.391290,842.705048
3675.029574,-9252.574275,888.247130,153.219100
3675.029905,-10214.842000,296.082377,-766.095498
3675.030235,-10955.047942,-370.102971,-1608.800546
3675.030565,-11843.295072,-444.123565,-1455.581446
3675.030895,-11769.274478,-222.061783,-1608.800546
3675.031225,-9474.636058,-962.267725,-689.485948
3675.031556,-8290.306550,-888.247130,0.000000
3675.031886,-7920.203579,-1036.288319,-612.876398
3675.032216,-8068.244768,-296.082377,0.000000
3675.032546,-8660.409521,444.123565,0.000000
3675.032876,-9104.533087,1332.370696,459.657299
3675.033207,-9178.553681,1332.370696,995.924147
3675.033537,-10436.903782,1184.329507,995.924147
3675.033867,-11399.171507,518.144159,-383.047749
3675.034197,-12657.521608,-296.082377,-612.876398
3675.034527,-12287.418637,-444.123565,-842.705048
3675.034858,-10140.821405,-1628.453072,0.000000
3675.035188,-7698.141797,-1702.473667,1378.971896
3675.035518,-7179.997637,-1258.350101,919.314598
3675.035848,-7698.141797,-370.102971,766.095498
3675.036179,-8364.327145,740.205942,689.485948
3675.036509,-9622.677246,1406.391290,612.876398
3675.036839,-9252.574275,1998.556043,919.314598
3675.037169,-10658.965565,1776.494261,1072.533697
3675.037499,-11843.295072,1036.288319,153.219100
3675.037830,-11843.295072,0.000000,0.000000
3675.038160,-10955.047942,-74.020594,-383.047749
3675.038490,-9918.759623,-518.144159,-153.219100
3675.038820,-8660.409521,-814.226536,612.876398
3675.039150,-8512.368333,-444.123565,1532.190996
3675.039481,-9030.512492,0.000000,1225.752797
3675.039811,-8808.450710,370.102971,766.095498
3675.040141,-9474.636058,1184.329507,766.095498
3675.040471,-9400.615463,1332.370696,995.924147
3675.040801,-9252.574275,962.267725,1915.238745
3675.041132,-10732.986159,962.267725,1532.190996
3675.041462,-11917.315666,222.061783,1225.752797
3675.041792,-12583.501014,296.082377,919.314598
3675.042122,-11399.171507,-148.041188,766.095498
3675.042453,-9770.718434,-148.041188,766.095498
3675.042783,-9474.636058,0.000000,766.095498
3675.043113,-9474.636058,0.000000,536.266849
3675.043443,-9252.574275,296.082377,689.485948
3675.043773,-9178.553681,1184.329507,459.657299
3675.044104,-9030.512492,1406.391290,766.095498
3675.044434,-8808.450710,1406.391290,1072.533697
3675.044764,-10066.800811,1258.350101,459.657299
3675.045094,-10732.986159,444.123565,-383.047749
3675.045424,-11843.295072,0.000000,-459.657299
3675.045755,-11621.233289,0.000000,-536.266849
3675.046085,-9918.759623,-740.205942,842.705048
3675.046415,-8882.471304,-666.185348,1991.848295
3675.046745,-9178.553681,-814.226536,612.876398
3675.047075,-8882.471304,-962.267725,-536.266849
3675.047406,-8882.471304,-148.041188,-612.876398
3675.047736,-8956.491898,740.205942,229.828649
3675.048066,-8512.368333,518.144159,0.000000
3675.048396,-9178.553681,666.185348,76.609550
3675.048727,-9326.594869,222.061783,-919.314598
3675.049057,-10510.924376,148.041188,-1685.410096
3675.049387,-11695.253884,444.123565,-1685.410096
3675.049717,-10881.027347,-444.123565,-1378.971896
3675.050047,-10362.883188,-592.164754,-229.828649
3675.050377,-9474.636058,-814.226536,0.000000
3675.050707,-9326.594869,-1184.329507,-919.314598
3675.051038,-9178.553681,-740.205942,-536.266849
3675.051368,-8882.471304,0.000000,0.000000
3675.051698,-8438.347739,444.123565,229.828649
3675.052028,-8882.471304,962.267725,842.705048
3675.052358,-9992.780217,148.041188,-229.828649
3675.052688,-10732.986159,222.061783,-842.705048
3675.053018,-11547.212695,0.000000,-1149.143247
3675.053348,-11325.150913,-444.123565,-306.438199
3675.053678,-10140.821405,-1036.288319,612.876398
3675.054008,-9474.636058,-1406.391290,1072.533697
3675.054338,-9252.574275,-1628.453072,306.438199
3675.054669,-8364.327145,-814.226536,536.266849
3675.054999,-8438.347739,-444.123565,689.485948
3675.055329,-8882.471304,592.164754,1455.581446
3675.055659,-8660.409521,592.164754,1838.629195
3675.055989,-9844.739029,888.247130,536.266849
3675.056319,-10510.924376,592.164754,-153.219100
3675.056649,-11917.315666,518.144159,0.000000
3675.056979,-12139.377449,0.000000,0.000000
3675.057309,-11251.130318,-74.020594,383.047749
3675.057639,-9400.615463,-814.226536,1149.143247
3675.057969,-8512.368333,-1184.329507,383.047749
3675.058300,-8364.327145,-888.247130,459.657299
3675.058630,-8956.491898,-518.144159,1455.581446
3675.058960,-9252.574275,370.102971,1532.190996
3675.059290,-8586.388927,814.226536,1991.848295
3675.059620,-9474.636058,666.185348,1838.629195
3675.059950,-10214.842000,444.123565,689.485948
3675.060280,-11103.089130,222.061783,1072.533697
3675.060610,-11547.212695,444.123565,306.438199
3675.060940,-10436.903782,0.000000,689.485948
3675.061270,-9548.656652,-148.041188,1225.752797
3675.061600,-9770.718434,-74.020594,536.266849
3675.061931,-9844.739029,0.000000,383.047749
3675.062261,-9622.677246,148.041188,229.828649
3675.062591,-9104.533087,888.247130,76.609550
3675.062921,-8142.265362,814.226536,612.876398
3675.063251,-8660.409521,962.267725,995.924147
3675.063581,-9548.656652,888.247130,459.657299
3675.063911,-10807.006753,666.185348,-306.438199
3675.064241,-11621.233289,518.144159,-1149.143247
3675.064571,-11325.150913,444.123565,-842.705048
3675.064901,-9918.759623,0.000000,459.657299
3675.065231,-9548.656652,-222.061783,0.000000
3675.065562,-9844.739029,-592.164754,-536.266849
3675.065892,-9252.574275,-148.041188,-153.219100
3675.066222,-9104.533087,370.102971,0.000000
3675.066552,-8438.347739,444.123565,76.609550
3675.066882,-8364.327145,740.205942,153.219100
3675.067212,-9400.615463,888.247130,-842.705048
3675.067542,-9992.780217,444.123565,-995.924147
3675.067872,-11177.109724,518.144159,-1762.019645
