#time,accel_x,accel_y,accel_z
3821.649703,-9918.759623,0.000000,306.438199
3821.650033,-9400.615463,296.082377,-76.609550
3821.650363,-9622.677246,0.000000,229.828649
3821.650694,-9770.718434,0.000000,306.438199
3821.651024,-9844.739029,0.000000,153.219100
3821.651354,-9770.718434,0.000000,459.657299
3821.651684,-9696.697840,74.020594,0.000000
3821.652014,-9844.739029,0.000000,536.266849
3821.652344,-9696.697840,-222.061783,459.657299
3821.652675,-9696.697840,148.041188,536.266849
3821.653005,-9548.656652,74.020594,76.609550
3821.653335,-9770.718434,0.000000,383.047749
3821.653665,-9918.759623,74.020594,383.047749
3821.653995,-9992.780217,0.000000,306.438199
3821.654326,-9474.636058,148.041188,0.000000
3821.654656,-9622.677246,74.020594,229.828649
3821.654986,-9548.656652,0.000000,459.657299
3821.655316,-10066.800811,148.041188,536.266849
3821.655646,-10436.903782,74.020594,-536.266849
3821.655977,-10214.842000,222.061783,0.000000
3821.656307,-9696.697840,-222.061783,-536.266849
3821.656637,-9770.718434,296.082377,-766.095498
3821.656967,-9770.718434,370.102971,-383.047749
3821.657297,-9992.780217,0.000000,-612.876398
3821.657628,-9918.759623,-222.061783,-153.219100
3821.657958,-9474.636058,-370.102971,0.000000
3821.658288,-9548.656652,-814.226536,306.438199
3821.658618,-9474.636058,-296.082377,0.000000
3821.658948,-9696.697840,-666.185348,-536.266849
3821.659279,-9548.656652,-592.164754,-919.314598
3821.659609,-10066.800811,-222.061783,-842.705048
3821.659939,-9548.656652,-296.082377,-306.438199
3821.660269,-9770.718434,-296.082377,0.000000
3821.660599,-10658.965565,0.000000,0.000000
3821.660930,-10214.842000,-370.102971,-995.924147
3821.661260,-9770.718434,-222.061783,-1838.629195
3821.661590,-9622.677246,-518.144159,-2221.676944
3821.661920,-9474.636058,-888.247130,-2221.676944
3821.662250,-9548.656652,-1110.308913,-1838.629195
3821.662581,-8808.450710,-1332.370696,-689.485948
3821.662911,-8512.368333,-1480.411884,-229.828649
3821.663241,-9770.718434,-1258.350101,76.609550
3821.663571,-9844.739029,-962.267725,-459.657299
3821.663901,-10066.800811,-888.247130,-536.266849
3821.664232,-9844.739029,-222.061783,-1532.190996
3821.664562,-10214.842000,-370.102971,-1302.362347
3821.664892,-10584.944971,-444.123565,-1225.752797
3821.665222,-10288.862594,-666.185348,-1762.019645
3821.665552,-10214.842000,-962.267725,-2681.334243
3821.665883,-9918.759623,-1628.453072,-3064.381992
3821.666213,-9474.636058,-1776.494261,-3294.210641
3821.666543,-9400.615463,-2072.576638,-2451.505594
3821.666873,-8512.368333,-1924.535449,-2221.676944
3821.667203,-8142.265362,-1702.473667,-1838.629195
3821.667533,-8734.430116,-1406.391290,-1072.533697
