#time,accel_x,accel_y,accel_z
3636.033854,-10732.986159,-592.164754,-2068.457845
3636.034184,-11399.171507,-592.164754,-2068.457845
3636.034514,-10510.924376,-518.144159,-383.047749
3636.034845,-10584.944971,-666.185348,459.657299
3636.035175,-10436.903782,-814.226536,-383.047749
3636.035505,-9252.574275,-962.267725,-2221.676944
3636.035835,-8660.409521,592.164754,-2068.457845
3636.036166,-8068.244768,740.205942,-842.705048
3636.036496,-9770.718434,518.144159,-1225.752797
3636.036826,-10140.821405,666.185348,-1455.581446
3636.037156,-7994.224174,814.226536,-766.095498
3636.037487,-9030.512492,1036.288319,-1532.190996
3636.037817,-11103.089130,888.247130,-1455.581446
3636.038147,-10362.883188,1258.350101,-1762.019645
3636.038477,-9326.594869,814.226536,-2451.505594
3636.038808,-9400.615463,666.185348,-2604.724693
3636.039138,-9992.780217,518.144159,-612.876398
3636.039468,-9696.697840,888.247130,-306.438199
3636.039799,-9548.656652,148.041188,-1915.238745
3636.040129,-9030.512492,296.082377,-2451.505594
3636.040459,-9030.512492,296.082377,-919.314598
3636.040789,-9548.656652,814.226536,306.438199
3636.041120,-9992.780217,888.247130,153.219100
3636.041450,-9770.718434,1110.308913,-1455.581446
3636.041780,-10066.800811,1036.288319,-2451.505594
3636.042110,-10436.903782,740.205942,-3447.429741
3636.042441,-11177.109724,148.041188,-3217.601092
3636.042771,-10732.986159,0.000000,-2911.162892
3636.043101,-9400.615463,-888.247130,-3140.991542
3636.043432,-8660.409521,-1406.391290,-3524.039291
3636.043762,-8660.409521,-1850.514855,-2298.286494
3636.044092,-8808.450710,-1998.556043,-383.047749
3636.044422,-9030.512492,-1554.432478,1302.362347
3636.044753,-9770.718434,-1110.308913,536.266849
3636.045083,-9992.780217,-740.205942,229.828649
3636.045413,-10436.903782,-666.185348,-1072.533697
3636.045743,-12065.356855,-444.123565,-1762.019645
3636.046074,-11843.295072,-1258.350101,-3830.477490
3636.046404,-11177.109724,-2072.576638,-5592.497135
3636.046734,-9548.656652,-2442.679609,-5209.449386
3636.047064,-9104.533087,-2886.803174,-4290.134789
