#time,accel_x,accel_y,accel_z
3803.950555,-9696.697840,0.000000,76.609550
3803.950884,-9696.697840,0.000000,0.000000
3803.951214,-9474.636058,0.000000,0.000000
3803.951544,-9622.677246,0.000000,459.657299
3803.951873,-9696.697840,74.020594,76.609550
3803.952203,-9770.718434,0.000000,383.047749
3803.952533,-9918.759623,0.000000,229.828649
3803.952862,-9918.759623,74.020594,153.219100
3803.953192,-9992.780217,0.000000,76.609550
3803.953522,-9992.780217,0.000000,383.047749
3803.953851,-9622.677246,74.020594,459.657299
3803.954181,-9770.718434,0.000000,0.000000
3803.954511,-9622.677246,0.000000,153.219100
3803.954840,-9696.697840,74.020594,229.828649
3803.955170,-9696.697840,0.000000,536.266849
3803.955500,-9918.759623,148.041188,229.828649
3803.955829,-10066.800811,0.000000,153.219100
3803.956159,-9918.759623,0.000000,0.000000
3803.956489,-9770.718434,222.061783,-306.438199
3803.956818,-9844.739029,0.000000,-229.828649
3803.957148,-10288.862594,-74.020594,-383.047749
3803.957478,-9992.780217,0.000000,-153.219100
3803.957808,-9918.759623,-296.082377,0.000000
3803.958137,-9622.677246,-518.144159,0.000000
3803.958467,-9326.594869,-666.185348,-383.047749
3803.958797,-9474.636058,-740.205942,-689.485948
3803.959126,-9622.677246,-296.082377,-689.485948
3803.959456,-9992.780217,-74.020594,-536.266849
3803.959786,-9844.739029,-592.164754,-76.609550
3803.960115,-9918.759623,-148.041188,306.438199
3803.960445,-10436.903782,-370.102971,0.000000
3803.960775,-9992.780217,-518.144159,-612.876398
3803.961104,-9548.656652,-740.205942,-2145.067394
3803.961434,-9844.739029,-592.164754,-1915.238745
3803.961764,-9474.636058,-1110.308913,-2068.457845
3803.962093,-9326.594869,-1036.288319,-1838.629195
3803.962423,-9252.574275,-814.226536,-153.219100
3803.962753,-9326.594869,-1184.329507,0.000000
3803.963082,-9548.656652,-1332.370696,0.000000
3803.963412,-9622.677246,-1332.370696,-153.219100
3803.963742,-9992.780217,-814.226536,-766.095498
3803.964071,-9844.739029,-814.226536,-1225.752797
3803.964401,-10140.821405,-888.247130,-1378.971896
3803.964731,-10584.944971,-666.185348,-1762.019645
3803.965061,-10140.821405,-444.123565,-1991.848295
3803.965390,-9992.780217,-592.164754,-2604.724693
3803.965720,-9844.739029,-1480.411884,-2911.162892
3803.966050,-10066.800811,-1406.391290,-2757.943793
3803.966379,-9622.677246,-1850.514855,-2298.286494
3803.966709,-8808.450710,-1776.494261,-1915.238745
3803.967039,-8290.306550,-1702.473667,-1838.629195
3803.967368,-8512.368333,-1628.453072,-1072.533697
3803.967698,-9326.594869,-1332.370696,-153.219100
3803.968028,-10362.883188,-740.205942,0.000000
3803.968357,-10955.047942,-740.205942,459.657299
3803.968687,-12065.356855,-1036.288319,0.000000
3803.969017,-11917.315666,-1110.308913,-842.705048
3803.969346,-11769.274478,-1924.535449,-2757.943793
3803.969676,-10362.883188,-2368.659014,-4749.792088
3803.970006,-8808.450710,-3627.009116,-4596.572988
3803.970335,-7476.080014,-3034.844362,-3753.867940
3803.970665,-7698.141797,-2664.741391,-1838.629195
3803.970995,-8660.409521,-1628.453072,-536.266849
3803.971324,-9622.677246,-1110.308913,-1991.848295
3803.971654,-10436.903782,-1406.391290,-3677.258390
3803.971984,-11177.109724,-2294.638420,-4979.620737
3803.972314,-11621.233289,-3256.906145,-3830.477490
3803.972643,-10955.047942,-4663.297435,-2528.115143
3803.972973,-8882.471304,-5921.647536,-1455.581446
3803.973303,-6883.915261,-5773.606348,-1608.800546
3803.973632,-6735.874072,-5403.503377,-2451.505594
3803.973962,-7846.182985,-3627.009116,-2451.505594
3803.974292,-9178.553681,-2664.741391,-1685.410096
3803.974621,-10732.986159,-1628.453072,-1532.190996
3803.974951,-11621.233289,-1258.350101,-1991.848295
3803.975281,-11473.192101,-1924.535449,-2834.553343
3803.975610,-10658.965565,-3478.967927,-5362.668486
3803.975940,-9622.677246,-4959.379811,-5745.716235
3803.976270,-9252.574275,-5699.585753,-4596.572988
3803.976599,-8512.368333,-5403.503377,-2221.676944
3803.976929,-8068.244768,-4959.379811,-612.876398
3803.977259,-7624.121203,-4219.173869,842.705048
3803.977588,-9030.512492,-2960.823768,1072.533697
3803.977918,-11621.233289,-1924.535449,0.000000
3803.978248,-12879.583391,-1850.514855,-2068.457845
3803.978577,-11917.315666,-2368.659014,-2911.162892
3803.978907,-9844.739029,-3849.070898,-2757.943793
3803.979237,-9622.677246,-4663.297435,-2221.676944
3803.979567,-9326.594869,-4663.297435,-2068.457845
3803.979896,-9030.512492,-5181.441594,-1608.800546
3803.980226,-8586.388927,-4811.338623,-1762.019645
3803.980556,-9326.594869,-4367.215058,-1762.019645
3803.980885,-9400.615463,-1776.494261,0.000000
3803.981215,-10066.800811,-1110.308913,-383.047749
3803.981545,-11843.295072,-740.205942,459.657299
3803.981874,-10881.027347,-1554.432478,229.828649
3803.982204,-10066.800811,-2146.597232,-1915.238745
3803.982534,-9844.739029,-2590.720797,-2451.505594
3803.982863,-11103.089130,-2516.700203,-2374.896044
3803.983193,-10881.027347,-2146.597232,-2221.676944
3803.983523,-9400.615463,-2442.679609,-1302.362347
3803.983852,-8660.409521,-2738.761985,-1378.971896
3803.984182,-8882.471304,-2146.597232,-536.266849
3803.984512,-9992.780217,-1406.391290,0.000000
3803.984841,-9844.739029,-814.226536,-612.876398
3803.985171,-8882.471304,-1036.288319,-2451.505594
3803.985501,-9030.512492,-814.226536,-3140.991542
3803.985830,-9696.697840,-1258.350101,-2604.724693
3803.986160,-10214.842000,-814.226536,-76.609550
3803.986490,-11029.068536,-296.082377,0.000000
3803.986820,-10140.821405,-370.102971,-2451.505594
3803.987149,-10140.821405,-592.164754,-3677.258390
3803.987479,-9918.759623,-1036.288319,-4903.011187
3803.987809,-9474.636058,-1036.288319,-3753.867940
3803.988138,-9844.739029,-666.185348,-1149.143247
3803.988468,-9770.718434,-370.102971,-1685.410096
3803.988798,-8290.306550,-518.144159,-3447.429741
3803.989127,-6883.915261,-1554.432478,-5132.839837
3803.989457,-7550.100608,-148.041188,-3294.210641
3803.989787,-10214.842000,-592.164754,-306.438199
3803.990116,-11843.295072,444.123565,995.924147
3803.990446,-10658.965565,740.205942,0.000000
3803.990776,-9844.739029,-666.185348,-1838.629195
3803.991105,-10955.047942,-962.267725,-2757.943793
3803.991435,-11991.336260,-1554.432478,-2757.943793
3803.991765,-11769.274478,-1406.391290,-2528.115143
3803.992094,-9474.636058,-1776.494261,-2451.505594
3803.992424,-7254.018232,-1924.535449,-1378.971896
3803.992754,-6661.853478,-1480.411884,-1302.362347
3803.993083,-9474.636058,-1258.350101,-1378.971896
3803.993413,-10362.883188,-814.226536,-2068.457845
3803.993743,-9918.759623,-888.247130,-1915.238745
3803.994072,-9770.718434,-888.247130,-1072.533697
3803.994402,-11325.150913,-1924.535449,383.047749
3803.994732,-12583.501014,-1998.556043,76.609550
3803.995062,-11103.089130,-3182.885551,-536.266849
3803.995391,-9326.594869,-3701.029710,-1532.190996
3803.995721,-8808.450710,-2664.741391,-919.314598
3803.996051,-10510.924376,-2516.700203,-459.657299
3803.996380,-9622.677246,-2146.597232,-536.266849
3803.996710,-8068.244768,-1998.556043,-1838.629195
3803.997040,-9178.553681,-1924.535449,-3370.820191
3803.997369,-11029.068536,-1702.473667,-3600.648841
3803.997699,-11029.068536,-2812.782580,-2757.943793
3803.998029,-8808.450710,-3256.906145,-2068.457845
3803.998358,-8660.409521,-3330.926739,-1762.019645
3803.998688,-10214.842000,-3404.947333,-1685.410096
3803.999018,-11029.068536,-3849.070898,-1302.362347
3803.999347,-10214.842000,-3849.070898,-1225.752797
3803.999677,-9548.656652,-3478.967927,-1915.238745
3804.000007,-9918.759623,-3034.844362,-2528.115143
3804.000336,-10066.800811,-2812.782580,-2681.334243
3804.000666,-9474.636058,-3034.844362,-2451.505594
3804.000996,-10362.883188,-2960.823768,-3524.039291
3804.001325,-8512.368333,-3478.967927,-4443.353888
3804.001655,-7994.224174,-3404.947333,-4366.744339
3804.001985,-9622.677246,-3330.926739,-2987.772442
3804.002315,-10288.862594,-3108.864956,-2221.676944
3804.002644,-10362.883188,-3034.844362,-1991.848295
3804.002974,-9770.718434,-3849.070898,-2834.553343
3804.003304,-9622.677246,-3849.070898,-2374.896044
3804.003633,-10140.821405,-3182.885551,-306.438199
3804.003963,-10436.903782,-2960.823768,383.047749
3804.004293,-9770.718434,-2886.803174,-1608.800546
3804.004622,-8808.450710,-2960.823768,-2987.772442
3804.004952,-8364.327145,-2738.761985,-2911.162892
3804.005282,-10140.821405,-1850.514855,-919.314598
3804.005611,-10510.924376,-1850.514855,-612.876398
3804.005941,-10658.965565,-2072.576638,-1838.629195
3804.006271,-10066.800811,-2442.679609,-3677.258390
3804.006600,-8882.471304,-3108.864956,-3217.601092
3804.006930,-9326.594869,-2812.782580,-766.095498
3804.007259,-10658.965565,-2294.638420,536.266849
3804.007589,-9918.759623,-2368.659014,229.828649
3804.007919,-8586.388927,-2368.659014,-689.485948
3804.008248,-8660.409521,-1776.494261,-995.924147
3804.008578,-10510.924376,-888.247130,-766.095498
3804.008907,-12361.439231,-814.226536,-689.485948
3804.009237,-11251.130318,-666.185348,-2145.067394
3804.009567,-9178.553681,-1110.308913,-2451.505594
3804.009896,-9770.718434,-1480.411884,-2528.115143
3804.010226,-10510.924376,-2072.576638,-1915.238745
3804.010555,-10214.842000,-2516.700203,-1302.362347
3804.010885,-7994.224174,-2368.659014,-536.266849
3804.011215,-8216.285956,-2220.617826,-1608.800546
3804.011544,-8660.409521,-1850.514855,-995.924147
3804.011874,-9770.718434,-814.226536,-766.095498
3804.012203,-9400.615463,-296.082377,-1608.800546
3804.012533,-8216.285956,-518.144159,-1915.238745
3804.012863,-9696.697840,0.000000,0.000000
3804.013192,-10955.047942,0.000000,1455.581446
3804.013522,-11029.068536,0.000000,0.000000
3804.013851,-9696.697840,-444.123565,-3140.991542
3804.014181,-9326.594869,-888.247130,-4290.134789
3804.014511,-9252.574275,-222.061783,-2757.943793
3804.014840,-9474.636058,-370.102971,-766.095498
3804.015170,-9400.615463,222.061783,153.219100
3804.015499,-8956.491898,518.144159,306.438199
3804.015829,-9696.697840,1258.350101,-1455.581446
3804.016159,-10288.862594,814.226536,-1302.362347
3804.016488,-11029.068536,1184.329507,-536.266849
3804.016818,-10362.883188,962.267725,459.657299
3804.017147,-10510.924376,888.247130,995.924147
3804.017477,-10807.006753,222.061783,1149.143247
3804.017807,-9918.759623,444.123565,306.438199
3804.018136,-10140.821405,74.020594,229.828649
3804.018466,-10510.924376,296.082377,-1149.143247
3804.018795,-9622.677246,74.020594,-153.219100
3804.019125,-9844.739029,814.226536,919.314598
3804.019455,-9252.574275,1258.350101,1378.971896
3804.019784,-10214.842000,1406.391290,229.828649
3804.020114,-9770.718434,666.185348,-1991.848295
3804.020443,-9770.718434,74.020594,-1915.238745
3804.020773,-10288.862594,296.082377,1378.971896
3804.021103,-11103.089130,-296.082377,2757.943793
3804.021432,-9696.697840,-740.205942,1915.238745
