#time,accel_x,accel_y,accel_z
3855.309175,-9770.718434,0.000000,229.828649
3855.309504,-9622.677246,296.082377,612.876398
3855.309834,-9622.677246,0.000000,536.266849
3855.310164,-9844.739029,148.041188,229.828649
3855.310494,-9548.656652,0.000000,229.828649
3855.310824,-9696.697840,0.000000,229.828649
3855.311154,-9474.636058,0.000000,306.438199
3855.311484,-9548.656652,0.000000,0.000000
3855.311814,-9548.656652,0.000000,0.000000
3855.312144,-9548.656652,-370.102971,536.266849
3855.312473,-9918.759623,148.041188,766.095498
3855.312803,-10214.842000,0.000000,459.657299
3855.313133,-9770.718434,0.000000,0.000000
3855.313463,-9622.677246,74.020594,-536.266849
3855.313793,-9400.615463,370.102971,0.000000
3855.314123,-9844.739029,0.000000,-383.047749
3855.314453,-9770.718434,-296.082377,-229.828649
3855.314783,-9696.697840,-370.102971,0.000000
3855.315112,-9548.656652,-666.185348,0.000000
3855.315442,-9622.677246,-666.185348,0.000000
3855.315772,-9548.656652,-814.226536,-536.266849
3855.316102,-9696.697840,-296.082377,-842.705048
3855.316432,-9770.718434,-222.061783,-1072.533697
3855.316762,-10140.821405,-74.020594,0.000000
3855.317092,-10066.800811,0.000000,-153.219100
3855.317422,-10140.821405,-444.123565,306.438199
3855.317752,-10288.862594,-592.164754,-229.828649
3855.318081,-9696.697840,-888.247130,-842.705048
3855.318411,-10066.800811,-444.123565,-1685.410096
3855.318741,-9548.656652,-888.247130,-2221.676944
3855.319071,-9400.615463,-962.267725,-1608.800546
3855.319401,-9252.574275,-962.267725,-919.314598
3855.319731,-8882.471304,-1036.288319,-383.047749
3855.320061,-9770.718434,-962.267725,0.000000
3855.320391,-9622.677246,-1332.370696,-536.266849
3855.320721,-9918.759623,-888.247130,-689.485948
3855.321050,-9918.759623,-592.164754,-536.266849
3855.321380,-10066.800811,-370.102971,-1149.143247
3855.321710,-10584.944971,-740.205942,-1302.362347
3855.322040,-10140.821405,-666.185348,-1455.581446
3855.322370,-9844.739029,-1332.370696,-1762.019645
3855.322700,-9844.739029,-1480.411884,-2528.115143
3855.323030,-10066.800811,-1554.432478,-2757.943793
