#time,accel_x,accel_y,accel_z
3625.748652,-11695.253884,-1332.370696,-2068.457845
3625.748981,-11325.150913,-2146.597232,-1532.190996
3625.749311,-10881.027347,-2220.617826,-1225.752797
3625.749641,-9918.759623,-2812.782580,-1608.800546
3625.749970,-8808.450710,-2146.597232,-2221.676944
3625.750300,-8734.430116,-1924.535449,-1608.800546
3625.750629,-9326.594869,-1036.288319,-766.095498
3625.750959,-9622.677246,0.000000,-459.657299
3625.751288,-9474.636058,0.000000,-383.047749
3625.751618,-8808.450710,-148.041188,-1915.238745
3625.751948,-10140.821405,444.123565,-1762.019645
3625.752277,-10658.965565,74.020594,-1378.971896
3625.752607,-10214.842000,-296.082377,-1225.752797
3625.752936,-9770.718434,-222.061783,-1685.410096
3625.753266,-9918.759623,-592.164754,-1378.971896
3625.753595,-10658.965565,-444.123565,-1302.362347
3625.753925,-10510.924376,0.000000,-995.924147
3625.754254,-9474.636058,-296.082377,-995.924147
3625.754584,-8882.471304,0.000000,0.000000
3625.754914,-9252.574275,296.082377,536.266849
3625.755243,-9696.697840,518.144159,842.705048
3625.755573,-10584.944971,888.247130,153.219100
3625.755902,-8808.450710,1110.308913,-1302.362347
3625.756232,-10288.862594,0.000000,-1149.143247
3625.756561,-12435.459826,962.267725,-1685.410096
3625.756891,-11029.068536,740.205942,-1072.533697
3625.757220,-10658.965565,74.020594,-2221.676944
3625.757550,-10732.986159,74.020594,-4290.134789
3625.757880,-10214.842000,-444.123565,-4979.620737
3625.758209,-8882.471304,-1406.391290,-3830.477490
3625.758539,-8068.244768,-1036.288319,-306.438199
3625.758868,-8512.368333,-1110.308913,1072.533697
3625.759198,-8586.388927,-1110.308913,842.705048
3625.759527,-8586.388927,-666.185348,-766.095498
3625.759857,-10140.821405,-370.102971,-1225.752797
3625.760187,-11473.192101,0.000000,-1532.190996
3625.760516,-12435.459826,-888.247130,-1225.752797
3625.760846,-11843.295072,-1258.350101,-1762.019645
3625.761175,-10362.883188,-2294.638420,-2221.676944
3625.761505,-8882.471304,-2516.700203,-2681.334243
3625.761834,-8290.306550,-2442.679609,-3217.601092
3625.762164,-8290.306550,-2146.597232,-4443.353888
3625.762493,-8142.265362,-1406.391290,-4060.306139
3625.762823,-8438.347739,-1110.308913,-3064.381992
3625.763153,-10214.842000,-666.185348,-1225.752797
3625.763482,-11103.089130,-1628.453072,-306.438199
3625.763812,-12213.398043,-1702.473667,229.828649
3625.764141,-12287.418637,-3034.844362,-1072.533697
3625.764471,-11103.089130,-4071.132681,-2145.067394
3625.764800,-10140.821405,-4515.256246,-2374.896044
3625.765130,-9252.574275,-4885.359217,-1762.019645
3625.765459,-8734.430116,-4367.215058,0.000000
3625.765789,-8882.471304,-3775.050304,459.657299
3625.766119,-9030.512492,-2516.700203,-1072.533697
3625.766448,-10066.800811,-1850.514855,-2987.772442
3625.766778,-10436.903782,-2738.761985,-4903.011187
3625.767107,-10066.800811,-3330.926739,-5056.230287
3625.767437,-10066.800811,-3701.029710,-3217.601092
3625.767766,-9696.697840,-4737.318029,-995.924147
3625.768096,-9400.615463,-4663.297435,383.047749
3625.768426,-8068.244768,-4811.338623,689.485948
3625.768755,-8068.244768,-4737.318029,76.609550
3625.769085,-9992.780217,-3997.112087,1225.752797
3625.769414,-11103.089130,-2960.823768,2068.457845
3625.769744,-11769.274478,-2294.638420,1532.190996
3625.770074,-10510.924376,-2516.700203,-1378.971896
3625.770403,-9474.636058,-3701.029710,-2834.553343
3625.770733,-8512.368333,-3849.070898,-2528.115143
3625.771063,-9030.512492,-4145.153275,-383.047749
3625.771393,-8956.491898,-4145.153275,-153.219100
3625.771723,-7772.162391,-3923.091493,76.609550
3625.772053,-7328.038826,-3775.050304,1302.362347
3625.772383,-9474.636058,-2146.597232,3447.429741
3625.772712,-12065.356855,-1850.514855,3677.258390
3625.773042,-12435.459826,-1036.288319,1608.800546
3625.773372,-10955.047942,-1184.329507,-1072.533697
3625.773702,-9252.574275,-1924.535449,-1378.971896
3625.774032,-10510.924376,-1998.556043,0.000000
3625.774362,-10955.047942,-1702.473667,2374.896044
3625.774692,-9104.533087,-2220.617826,1532.190996
3625.775021,-6661.853478,-1628.453072,766.095498
3625.775351,-6291.750507,-888.247130,919.314598
3625.775681,-9030.512492,370.102971,2604.724693
3625.776011,-12065.356855,1924.535449,3370.820191
3625.776341,-12583.501014,2146.597232,1532.190996
3625.776671,-11325.150913,1628.453072,0.000000
3625.777001,-11621.233289,1776.494261,-76.609550
3625.777330,-12361.439231,888.247130,1685.410096
3625.777660,-11177.109724,592.164754,2068.457845
3625.777990,-8142.265362,148.041188,1302.362347
3625.778320,-5773.606348,444.123565,1838.629195
3625.778650,-7179.997637,2072.576638,2834.553343
3625.778980,-9918.759623,3256.906145,3983.696590
3625.779310,-11325.150913,4367.215058,2374.896044
3625.779639,-10732.986159,3701.029710,-1225.752797
3625.779969,-10436.903782,3182.885551,-2451.505594
3625.780299,-11325.150913,2590.720797,-766.095498
3625.780629,-11473.192101,2590.720797,1072.533697
3625.780959,-8882.471304,2146.597232,612.876398
3625.781289,-6513.812290,2220.617826,0.000000
3625.781619,-6809.894666,3034.844362,383.047749
3625.781948,-10066.800811,4367.215058,1838.629195
3625.782278,-12213.398043,5477.523971,1072.533697
3625.782608,-10807.006753,5107.421000,-1762.019645
3625.782938,-9474.636058,4367.215058,-3370.820191
3625.783268,-10584.944971,4219.173869,-1991.848295
3625.783598,-11991.336260,3552.988522,153.219100
3625.783928,-9992.780217,3108.864956,-76.609550
3625.784257,-6217.729913,1998.556043,-3064.381992
3625.784587,-5847.626942,2442.679609,-2681.334243
3625.784917,-9474.636058,3330.926739,536.266849
3625.785247,-13101.645173,4737.318029,2451.505594
3625.785577,-12287.418637,3849.070898,0.000000
3625.785907,-9326.594869,2368.659014,-3217.601092
3625.786237,-8956.491898,1998.556043,-3753.867940
3625.786566,-11177.109724,1998.556043,-306.438199
3625.786896,-10807.006753,1776.494261,1838.629195
3625.787226,-8216.285956,1628.453072,1072.533697
3625.787556,-5995.668130,1332.370696,-1455.581446
3625.787886,-7550.100608,1554.432478,-1225.752797
3625.788216,-12583.501014,2442.679609,766.095498
3625.788545,-14285.974681,2220.617826,1225.752797
3625.788875,-11695.253884,666.185348,-1072.533697
3625.789205,-9030.512492,-296.082377,-1762.019645
3625.789535,-9548.656652,-1184.329507,229.828649
3625.789865,-11103.089130,-1406.391290,2374.896044
3625.790195,-8660.409521,-2146.597232,2298.286494
3625.790525,-6439.791695,-2738.761985,-229.828649
3625.790854,-5329.482782,-2368.659014,0.000000
3625.791184,-10140.821405,-1554.432478,2987.772442
3625.791514,-12879.583391,-888.247130,4290.134789
3625.791844,-12065.356855,-1332.370696,1072.533697
3625.792174,-9918.759623,-2516.700203,-1915.238745
3625.792504,-10214.842000,-3923.091493,-1991.848295
3625.792834,-10881.027347,-3849.070898,76.609550
3625.793163,-9992.780217,-4515.256246,2528.115143
3625.793493,-6809.894666,-4737.318029,2145.067394
3625.793823,-5625.565159,-3775.050304,689.485948
3625.794153,-7550.100608,-2590.720797,995.924147
3625.794483,-11843.295072,-1480.411884,2221.676944
3625.794813,-13101.645173,-1110.308913,842.705048
3625.795143,-12509.480420,-2220.617826,-1072.533697
3625.795472,-10658.965565,-2960.823768,-1685.410096
3625.795802,-11325.150913,-3701.029710,229.828649
3625.796132,-10658.965565,-3997.112087,1378.971896
3625.796462,-8290.306550,-4515.256246,-612.876398
3625.796792,-5995.668130,-4071.132681,-1991.848295
3625.797122,-7402.059420,-2812.782580,-536.266849
3625.797452,-10362.883188,-1258.350101,2221.676944
3625.797781,-12805.562797,-592.164754,2451.505594
3625.798111,-11843.295072,-666.185348,-689.485948
3625.798441,-10214.842000,-1702.473667,-3217.601092
3625.798771,-10510.924376,-2664.741391,-2374.896044
3625.799101,-10807.006753,-2886.803174,1455.581446
3625.799431,-9696.697840,-3182.885551,2757.943793
3625.799761,-6217.729913,-2368.659014,1762.019645
3625.800090,-6661.853478,-1184.329507,306.438199
3625.800420,-9770.718434,444.123565,919.314598
3625.800750,-12657.521608,1332.370696,1608.800546
3625.801080,-12139.377449,1480.411884,-229.828649
3625.801410,-10288.862594,666.185348,-2528.115143
3625.801740,-9178.553681,0.000000,-2451.505594
3625.802070,-9548.656652,-444.123565,0.000000
3625.802399,-8956.491898,-296.082377,459.657299
3625.802729,-7179.997637,-222.061783,-766.095498
3625.803059,-6217.729913,370.102971,-1991.848295
3625.803389,-8216.285956,1406.391290,0.000000
3625.803719,-11991.336260,2886.803174,2528.115143
3625.804049,-12287.418637,3404.947333,2145.067394
3625.804379,-11621.233289,2516.700203,-1762.019645
3625.804708,-9474.636058,1406.391290,-4136.915689
3625.805038,-9474.636058,666.185348,-1915.238745
3625.805368,-9326.594869,370.102971,1685.410096
3625.805698,-7254.018232,1110.308913,2221.676944
3625.806028,-5921.647536,1406.391290,1072.533697
3625.806358,-7105.977043,2960.823768,0.000000
3625.806687,-10807.006753,3627.009116,0.000000
3625.807017,-12879.583391,4515.256246,0.000000
3625.807347,-12139.377449,3849.070898,-1149.143247
3625.807677,-9548.656652,2738.761985,-2068.457845
3625.808007,-10140.821405,2368.659014,-689.485948
3625.808337,-10658.965565,2664.741391,1149.143247
3625.808667,-9326.594869,1924.535449,1072.533697
3625.808996,-7402.059420,2072.576638,-1225.752797
3625.809326,-6587.832884,2590.720797,-1072.533697
3625.809656,-9400.615463,3849.070898,1762.019645
3625.809986,-13101.645173,5033.400406,3983.696590
3625.810316,-13175.665768,4515.256246,1225.752797
3625.810646,-11251.130318,3256.906145,-2528.115143
3625.810976,-10066.800811,1776.494261,-3217.601092
3625.811305,-11177.109724,1110.308913,-306.438199
3625.811635,-10066.800811,222.061783,3140.991542
3625.811965,-6587.832884,0.000000,3677.258390
3625.812295,-5033.400406,370.102971,2145.067394
3625.812625,-8142.265362,1628.453072,1685.410096
3625.812955,-12509.480420,2442.679609,2298.286494
3625.813285,-12953.603985,2812.782580,2145.067394
3625.813614,-11769.274478,1776.494261,229.828649
3625.813944,-9474.636058,666.185348,-1072.533697
3625.814274,-10288.862594,-518.144159,995.924147
3625.814604,-10362.883188,-888.247130,1915.238745
3625.814934,-7698.141797,-1554.432478,689.485948
3625.815264,-6217.729913,-1184.329507,-1149.143247
3625.815594,-7476.080014,-148.041188,-383.047749
3625.815923,-10732.986159,666.185348,2145.067394
3625.816253,-12583.501014,1332.370696,2298.286494
3625.816583,-11621.233289,0.000000,-612.876398
3625.816913,-9918.759623,-888.247130,-3370.820191
3625.817243,-10436.903782,-2368.659014,-2528.115143
3625.817573,-10584.944971,-2146.597232,1072.533697
3625.817903,-9178.553681,-2886.803174,2298.286494
3625.818232,-5995.668130,-2368.659014,1072.533697
3625.818562,-6217.729913,-2220.617826,-229.828649
3625.818892,-9696.697840,-1258.350101,842.705048
3625.819222,-12583.501014,-370.102971,1685.410096
3625.819552,-12731.542202,-962.267725,612.876398
3625.819882,-10140.821405,-1850.514855,-766.095498
3625.820212,-10362.883188,-2886.803174,-842.705048
3625.820541,-10584.944971,-2812.782580,383.047749
3625.820871,-9252.574275,-3404.947333,842.705048
3625.821201,-7254.018232,-3182.885551,-995.924147
3625.821531,-6587.832884,-2960.823768,-1149.143247
3625.821861,-8734.430116,-1924.535449,536.266849
3625.822191,-11991.336260,-962.267725,2681.334243
3625.822520,-12805.562797,-518.144159,1378.971896
3625.822850,-11325.150913,-1776.494261,-1532.190996
3625.823180,-10140.821405,-2442.679609,-3370.820191
3625.823510,-9474.636058,-3478.967927,-1225.752797
3625.823840,-9252.574275,-3108.864956,1378.971896
3625.824170,-8068.244768,-3034.844362,1915.238745
3625.824500,-5773.606348,-2590.720797,306.438199
3625.824829,-7328.038826,-1184.329507,-612.876398
3625.825159,-11029.068536,0.000000,153.219100
3625.825489,-12879.583391,296.082377,766.095498
3625.825819,-11917.315666,-592.164754,-229.828649
3625.826149,-9474.636058,-1332.370696,-1762.019645
3625.826479,-9992.780217,-1924.535449,-1072.533697
3625.826809,-9844.739029,-1554.432478,0.000000
3625.827138,-9548.656652,-1924.535449,76.609550
3625.827468,-6439.791695,-1184.329507,-1762.019645
3625.827798,-6439.791695,-222.061783,-1072.533697
3625.828128,-9770.718434,1332.370696,842.705048
3625.828458,-12657.521608,2220.617826,1838.629195
3625.828788,-12435.459826,1998.556043,-766.095498
3625.829118,-10510.924376,592.164754,-3753.867940
3625.829447,-9622.677246,-296.082377,-3600.648841
3625.829777,-10214.842000,-1036.288319,-76.609550
3625.830107,-9400.615463,-740.205942,2528.115143
3625.830437,-7254.018232,-592.164754,1915.238745
3625.830767,-5773.606348,518.144159,766.095498
3625.831097,-8882.471304,1924.535449,229.828649
3625.831427,-12805.562797,2590.720797,842.705048
3625.831756,-13101.645173,2664.741391,1149.143247
3625.832086,-10732.986159,1480.411884,76.609550
3625.832416,-9400.615463,1110.308913,-306.438199
3625.832746,-10066.800811,592.164754,0.000000
3625.833076,-9622.677246,296.082377,919.314598
3625.833406,-8734.430116,666.185348,-383.047749
3625.833736,-5847.626942,1110.308913,-1225.752797
3625.834065,-7624.121203,2072.576638,0.000000
3625.834395,-11769.274478,3182.885551,1991.848295
3625.834725,-12953.603985,3478.967927,2528.115143
3625.835055,-12065.356855,2442.679609,-612.876398
3625.835385,-9918.759623,1406.391290,-2987.772442
3625.835715,-10214.842000,518.144159,-1838.629195
3625.836045,-9622.677246,148.041188,1378.971896
3625.836374,-8290.306550,222.061783,2834.553343
3625.836704,-6069.688724,296.082377,2145.067394
3625.837034,-6439.791695,1406.391290,612.876398
3625.837364,-10658.965565,2294.638420,842.705048
3625.837694,-12953.603985,3108.864956,1685.410096
3625.838024,-12213.398043,2664.741391,383.047749
3625.838354,-10288.862594,1554.432478,0.000000
3625.838683,-9622.677246,518.144159,229.828649
3625.839013,-10140.821405,148.041188,1225.752797
3625.839343,-9548.656652,0.000000,995.924147
3625.839673,-7624.121203,148.041188,-459.657299
3625.840003,-6957.935855,592.164754,-689.485948
3625.840333,-9252.574275,1332.370696,1685.410096
3625.840662,-12361.439231,2442.679609,3600.648841
3625.840992,-12435.459826,2146.597232,1532.190996
3625.841322,-10732.986159,666.185348,-1378.971896
3625.841652,-9474.636058,-444.123565,-2604.724693
3625.841982,-10510.924376,-814.226536,306.438199
3625.842312,-9326.594869,-888.247130,2528.115143
3625.842642,-7402.059420,-1332.370696,3064.381992
3625.842971,-6217.729913,-740.205942,995.924147
3625.843301,-7920.203579,222.061783,76.609550
3625.843631,-11917.315666,740.205942,0.000000
3625.843961,-13249.686362,1036.288319,1378.971896
3625.844291,-11325.150913,0.000000,383.047749
3625.844621,-10140.821405,-444.123565,-689.485948
3625.844951,-10066.800811,-962.267725,0.000000
3625.845280,-10140.821405,-1332.370696,229.828649
3625.845610,-9474.636058,-1480.411884,-536.266849
3625.845940,-7698.141797,-1480.411884,-1455.581446
3625.846270,-7031.956449,-814.226536,-612.876398
3625.846600,-10436.903782,370.102971,1302.362347
3625.846930,-12805.562797,962.267725,2298.286494
3625.847260,-11769.274478,-74.020594,-766.095498
3625.847589,-10140.821405,-740.205942,-4443.353888
3625.847919,-10140.821405,-1924.535449,-3983.696590
3625.848249,-10510.924376,-1998.556043,-153.219100
3625.848579,-9622.677246,-2072.576638,2068.457845
3625.848909,-7328.038826,-2294.638420,1149.143247
3625.849239,-6217.729913,-1702.473667,-689.485948
3625.849569,-8734.430116,-814.226536,-766.095498
3625.849898,-11843.295072,74.020594,536.266849
3625.850228,-11843.295072,0.000000,459.657299
3625.850558,-10436.903782,-740.205942,-842.705048
3625.850888,-9178.553681,-1850.514855,-689.485948
3625.851218,-10214.842000,-1776.494261,0.000000
3625.851548,-10140.821405,-1776.494261,842.705048
3625.851878,-8216.285956,-1850.514855,-306.438199
3625.852207,-6217.729913,-1480.411884,-1225.752797
3625.852537,-7846.182985,-370.102971,306.438199
3625.852867,-11029.068536,740.205942,2987.772442
3625.853197,-12805.562797,1332.370696,2221.676944
3625.853527,-11399.171507,222.061783,-1302.362347
3625.853857,-9696.697840,-370.102971,-3524.039291
3625.854187,-10214.842000,-1480.411884,-1455.581446
3625.854516,-10436.903782,-1258.350101,1915.238745
3625.854846,-8586.388927,-1332.370696,2834.553343
3625.855176,-6069.688724,-962.267725,1225.752797
3625.855506,-6957.935855,0.000000,0.000000
3625.855836,-11177.109724,1036.288319,459.657299
3625.856166,-13471.748144,1628.453072,995.924147
3625.856496,-11473.192101,1110.308913,536.266849
3625.856825,-9400.615463,222.061783,-612.876398
3625.857155,-9400.615463,-296.082377,-459.657299
3625.857485,-10362.883188,-296.082377,1149.143247
3625.857815,-9992.780217,-518.144159,766.095498
3625.858145,-7624.121203,-296.082377,-842.705048
3625.858475,-6291.750507,74.020594,-1302.362347
3625.858804,-9622.677246,1554.432478,1225.752797
3625.859134,-12361.439231,2442.679609,3140.991542
3625.859464,-12361.439231,1924.535449,1302.362347
3625.859794,-10510.924376,1036.288319,-2451.505594
3625.860124,-9326.594869,148.041188,-3524.039291
3625.860454,-10436.903782,-296.082377,-1225.752797
3625.860784,-9696.697840,0.000000,1991.848295
3625.861113,-7846.182985,0.000000,1762.019645
3625.861443,-5995.668130,444.123565,0.000000
3625.861773,-7698.141797,814.226536,-536.266849
3625.862103,-11843.295072,2220.617826,612.876398
3625.862433,-13175.665768,2368.659014,1149.143247
3625.862763,-11621.233289,1406.391290,-536.266849
3625.863093,-9252.574275,666.185348,-919.314598
3625.863422,-10214.842000,0.000000,459.657299
3625.863752,-10807.006753,0.000000,1532.190996
3625.864082,-9400.615463,0.000000,536.266849
3625.864412,-7031.956449,222.061783,-612.876398
3625.864742,-7105.977043,592.164754,0.000000
3625.865072,-10658.965565,1998.556043,1991.848295
3625.865402,-12435.459826,2368.659014,2221.676944
3625.865731,-11917.315666,1702.473667,-536.266849
3625.866061,-9622.677246,814.226536,-3600.648841
