#time,accel_x,accel_y,accel_z
3781.794280,-9844.739029,0.000000,383.047749
3781.794610,-9918.759623,0.000000,153.219100
3781.794940,-9622.677246,296.082377,0.000000
3781.795269,-9844.739029,-296.082377,0.000000
3781.795599,-9844.739029,74.020594,229.828649
3781.795929,-9844.739029,0.000000,536.266849
3781.796258,-9696.697840,0.000000,612.876398
3781.796588,-9844.739029,-222.061783,919.314598
3781.796918,-9992.780217,0.000000,0.000000
3781.797247,-9548.656652,-148.041188,153.219100
3781.797577,-9696.697840,370.102971,612.876398
3781.797907,-10140.821405,296.082377,919.314598
3781.798236,-10436.903782,0.000000,459.657299
3781.798566,-9992.780217,74.020594,-229.828649
3781.798896,-9696.697840,222.061783,-919.314598
3781.799225,-9622.677246,148.041188,-383.047749
3781.799555,-10066.800811,0.000000,-383.047749
3781.799885,-10066.800811,74.020594,0.000000
3781.800214,-9770.718434,-148.041188,0.000000
3781.800544,-9918.759623,-518.144159,0.000000
3781.800874,-9400.615463,0.000000,-153.219100
3781.801203,-9474.636058,-666.185348,-612.876398
3781.801533,-9474.636058,-518.144159,-689.485948
3781.801863,-9474.636058,-518.144159,-689.485948
3781.802192,-9844.739029,-592.164754,229.828649
3781.802522,-10066.800811,0.000000,229.828649
3781.802852,-10214.842000,-444.123565,459.657299
3781.803181,-10362.883188,-296.082377,-153.219100
3781.803511,-9770.718434,-518.144159,-995.924147
3781.803841,-9918.759623,-592.164754,-1532.190996
3781.804170,-9474.636058,-888.247130,-2221.676944
3781.804500,-9548.656652,-962.267725,-1991.848295
3781.804830,-9474.636058,-1110.308913,-1302.362347
3781.805159,-8882.471304,-1184.329507,-536.266849
3781.805489,-9474.636058,-1036.288319,0.000000
3781.805818,-9400.615463,-1036.288319,-306.438199
3781.806148,-9844.739029,-1036.288319,-766.095498
3781.806478,-9548.656652,-740.205942,-612.876398
3781.806807,-9844.739029,-592.164754,-1455.581446
3781.807137,-10510.924376,-740.205942,-995.924147
3781.807467,-10510.924376,-962.267725,-1378.971896
3781.807796,-10288.862594,-666.185348,-2068.457845
3781.808126,-10288.862594,-962.267725,-2528.115143
3781.808456,-9992.780217,-1480.411884,-2681.334243
3781.808785,-9770.718434,-1628.453072,-2604.724693
3781.809115,-9252.574275,-1850.514855,-2451.505594
3781.809445,-8438.347739,-1850.514855,-2604.724693
3781.809774,-8586.388927,-1702.473667,-1608.800546
3781.810104,-8956.491898,-1480.411884,-766.095498
3781.810434,-9992.780217,-1036.288319,0.000000
3781.810763,-10955.047942,-666.185348,689.485948
3781.811093,-11695.253884,-740.205942,0.000000
3781.811423,-11991.336260,-1258.350101,-459.657299
3781.811752,-11769.274478,-2146.597232,-1915.238745
3781.812082,-11029.068536,-2368.659014,-3677.258390
3781.812412,-9548.656652,-3108.864956,-4673.182538
3781.812741,-7772.162391,-3404.947333,-4136.915689
3781.813071,-7031.956449,-3034.844362,-1762.019645
3781.813401,-8068.244768,-2072.576638,-766.095498
3781.813730,-9178.553681,-1628.453072,-1455.581446
3781.814060,-10436.903782,-1258.350101,-2911.162892
3781.814390,-10955.047942,-1628.453072,-4749.792088
3781.814719,-11251.130318,-3034.844362,-4979.620737
3781.815049,-10732.986159,-3627.009116,-4213.525239
3781.815379,-9474.636058,-5255.462188,-2681.334243
3781.815708,-7994.224174,-5181.441594,-2068.457845
3781.816038,-7254.018232,-4885.359217,-2068.457845
3781.816368,-7698.141797,-4145.153275,-3447.429741
